symptom,state,Up to 2018-08-01,Up to 2018-09-01,aggregate_correlation
Apnea,ID,34,59,43
Arthralgia,ID,39,20,1
Asthenia,ID,27,36,38
Ataxia,ID,31,39,40
Back Pain,ID,61,55,61
Birth Weight,ID,19,6,35
Blindness,ID,31,39,40
Body Weight,ID,16,12,32
Bulimia,ID,8,28,11
Cachexia,ID,37,62,46
Catatonia,ID,1,1,17
Chest Pain,ID,61,55,61
Chills,ID,5,3,21
Chorea,ID,30,37,39
Colic,ID,41,25,3
Coma,ID,24,2,51
Confusion,ID,14,10,30
Constipation,ID,46,50,53
Coprophagia,ID,10,29,15
Cough,ID,61,55,61
Cyanosis,ID,35,60,44
Deafness,ID,17,14,33
Delirium,ID,1,1,17
Diarrhea,ID,61,55,61
Diplopia,ID,32,38,41
Dizziness,ID,12,51,13
Dysarthria,ID,22,63,49
Dyslexia,ID,10,29,15
Dysmenorrhea,ID,47,61,54
Dyspepsia,ID,36,33,45
Dysphonia,ID,58,45,24
Dyspnea,ID,33,32,42
Dystonia,ID,17,14,33
Dysuria,ID,26,35,37
Earache,ID,10,53,15
Ecchymosis,ID,3,4,19
Echolalia,ID,66,67,66
Edema,ID,41,25,3
Encopresis,ID,49,41,8
Eye Pain,ID,16,12,32
Fatigue,ID,16,12,32
Feminization,ID,2,7,18
Fever,ID,61,55,61
Flank Pain,ID,32,38,41
Flatulence,ID,4,24,20
Flushing,ID,42,22,4
Gagging,ID,53,11,28
Gastroparesis,ID,27,36,38
Halitosis,ID,60,53,60
Hallucinations,ID,43,23,5
Headache,ID,61,55,61
Hearing Loss,ID,10,29,15
Heartburn,ID,61,55,61
Hematemesis,ID,65,49,65
Hemiplegia,ID,1,1,17
Hemoptysis,ID,39,20,1
Hiccup,ID,52,16,27
Hirsutism,ID,40,21,2
Hot Flashes,ID,9,13,12
Hypercapnia,ID,16,12,32
Hyperemesis Gravidarum,ID,62,56,62
Hyperventilation,ID,21,65,48
Hypothermia,ID,9,32,12
Hypoventilation,ID,36,33,45
Illusions,ID,8,27,11
Jaundice,ID,42,22,4
Labor Pain,ID,10,29,15
Lethargy,ID,3,4,19
Low Back Pain,ID,19,6,35
Miosis,ID,57,44,58
Morning Sickness,ID,6,3,22
Motion Sickness,ID,2,65,18
Mutism,ID,55,42,56
Myoclonus,ID,25,66,52
Myotonia,ID,34,59,43
Nausea,ID,61,55,61
Neck Pain,ID,51,15,26
Neuralgia,ID,7,8,23
Nocturia,ID,15,47,31
Obesity,ID,8,27,11
Oliguria,ID,59,46,59
Overweight,ID,45,26,7
Pain,ID,61,55,61
Pallor,ID,64,58,63
Paralysis,ID,54,18,29
Paraplegia,ID,16,12,32
Paresthesia,ID,27,36,38
Pelvic Pain,ID,60,53,60
Photophobia,ID,26,35,37
Polyuria,ID,10,29,15
Prosopagnosia,ID,56,43,57
Proteinuria,ID,17,13,33
Pruritus,ID,22,61,49
Purpura,ID,23,64,50
Sciatica,ID,13,31,14
Seizures,ID,4,24,20
Shoulder Pain,ID,61,55,61
Sleep Deprivation,ID,10,29,15
Sleep Disorders,ID,10,29,15
Sneezing,ID,11,30,16
Snoring,ID,51,15,26
Spasm,ID,50,19,25
Stupor,ID,47,48,54
Stuttering,ID,18,5,34
Syncope,ID,38,9,47
Tetany,ID,39,20,1
Tics,ID,28,40,9
Tinnitus,ID,29,34,10
Toothache,ID,49,41,8
Torticollis,ID,4,28,20
Tremor,ID,30,37,39
Trismus,ID,21,65,48
Vertigo,ID,16,12,32
Vomiting,ID,61,55,61
Weight Gain,ID,61,55,61
Weight Loss,ID,63,57,64
Abdominal Pain,IL,9,19,75
Acute Coronary Syndrome,IL,74,86,60
Ageusia,IL,84,5,84
Agnosia,IL,63,63,35
Agraphia,IL,73,89,54
Albuminuria,IL,75,76,61
Alien Hand Syndrome,IL,15,10,7
Amaurosis Fugax,IL,32,57,46
Amblyopia,IL,41,61,13
Amnesia,IL,9,19,75
Angina Pectoris,IL,51,33,23
Anisocoria,IL,69,83,50
Anomia,IL,37,28,58
Anorexia,IL,48,69,20
Anoxia,IL,50,66,22
Aphasia,IL,18,45,1
Aphonia,IL,90,82,90
Apnea,IL,7,18,73
Arthralgia,IL,58,53,30
Asthenia,IL,47,67,19
Ataxia,IL,19,47,2
Athetosis,IL,21,48,4
Back Pain,IL,9,19,75
Birth Weight,IL,6,17,72
Blindness,IL,48,69,20
Body Weight,IL,67,26,39
Bulimia,IL,48,69,20
Cachexia,IL,70,84,51
Catalepsy,IL,62,72,34
Catatonia,IL,35,43,49
Cerebellar Ataxia,IL,52,34,24
Chest Pain,IL,9,19,75
Chills,IL,9,19,75
Chorea,IL,31,92,45
Colic,IL,9,19,75
Coma,IL,9,19,75
Communication Disorders,IL,40,55,12
Confusion,IL,48,69,20
Constipation,IL,9,19,75
Coprophagia,IL,53,56,25
Cough,IL,9,19,75
Cyanosis,IL,54,59,26
Deafness,IL,44,67,16
Delirium,IL,1,13,67
Diarrhea,IL,9,19,75
Diplopia,IL,39,31,56
Dizziness,IL,9,19,75
Dysarthria,IL,66,24,38
Dysgeusia,IL,60,74,32
Dyslexia,IL,48,69,20
Dysmenorrhea,IL,45,32,17
Dyspepsia,IL,56,90,28
Dysphonia,IL,91,85,91
Dyspnea,IL,9,19,75
Dystonia,IL,38,30,55
Dysuria,IL,9,19,75
Earache,IL,9,19,75
Ecchymosis,IL,17,12,59
Echolalia,IL,30,42,44
Edema,IL,5,15,71
Emaciation,IL,85,6,85
Encopresis,IL,44,67,16
Eructation,IL,36,29,57
Eye Hemorrhage,IL,71,87,52
Eye Pain,IL,9,19,75
Facial Pain,IL,51,68,23
Facial Paralysis,IL,23,37,8
Fasciculation,IL,44,67,16
Fatigue,IL,9,19,75
Feminization,IL,48,68,20
Fetal Weight,IL,72,88,53
Fever,IL,9,19,75
Flank Pain,IL,8,18,74
Flatulence,IL,45,32,17
Flushing,IL,87,7,87
Gagging,IL,9,19,75
Gastroparesis,IL,9,19,75
Halitosis,IL,62,72,34
Hallucinations,IL,9,19,75
Headache,IL,9,19,75
Hearing Disorders,IL,20,48,3
Hearing Loss,IL,20,49,3
Heart Murmurs,IL,62,72,34
Heartburn,IL,9,19,75
Hematemesis,IL,79,1,79
Hemianopsia,IL,59,73,31
Hemiplegia,IL,65,52,37
Hemoglobinuria,IL,24,75,9
Hemoptysis,IL,56,90,28
Hiccup,IL,9,19,75
Hirsutism,IL,38,65,55
Hoarseness,IL,52,34,24
Horner Syndrome,IL,27,39,41
Hot Flashes,IL,9,19,75
Hydrops Fetalis,IL,36,29,57
Hyperacusis,IL,28,40,42
Hyperalgesia,IL,31,92,45
Hypercalciuria,IL,88,80,88
Hypercapnia,IL,22,46,5
Hyperemesis Gravidarum,IL,11,22,77
Hyperesthesia,IL,37,28,58
Hyperkinesis,IL,84,5,84
Hyperoxia,IL,55,93,27
Hyperphagia,IL,35,58,6
Hyperventilation,IL,63,63,35
Hypesthesia,IL,89,81,89
Hypocapnia,IL,29,41,43
Hypokinesia,IL,82,94,82
Hypothermia,IL,12,44,78
Hypoventilation,IL,61,71,33
Illusions,IL,48,69,20
Intermittent Claudication,IL,71,87,52
Jaundice,IL,9,19,75
Korsakoff Syndrome,IL,13,8,65
Labor Pain,IL,66,25,38
Language Disorders,IL,48,69,20
Learning Disorders,IL,48,69,20
Lethargy,IL,83,3,83
Livedo Reticularis,IL,60,74,32
Low Back Pain,IL,9,19,75
Mental Retardation,IL,48,69,20
Metatarsalgia,IL,33,35,47
Miosis,IL,61,71,33
Morning Sickness,IL,9,19,75
Motion Sickness,IL,3,20,69
Mouth Breathing,IL,26,23,11
Muscle Cramp,IL,83,4,83
Muscle Weakness,IL,25,50,10
Muscular Atrophy,IL,25,60,10
Mutism,IL,49,64,21
Myoclonus,IL,53,56,25
Myokymia,IL,29,41,43
Myotonia,IL,62,72,34
Nausea,IL,9,19,75
Neck Pain,IL,9,19,75
Necrolytic Migratory Erythema,IL,92,79,92
Neuralgia,IL,4,54,70
Nocturia,IL,71,87,52
Obesity,IL,48,69,20
Oliguria,IL,10,19,76
Ophthalmoplegia,IL,59,73,31
Orthostatic Intolerance,IL,72,88,53
Overweight,IL,64,51,36
Pain,IL,9,19,75
Pallor,IL,34,43,48
Paralysis,IL,9,19,75
Paraparesis,IL,80,2,80
Paraplegia,IL,62,72,34
Paresis,IL,27,39,41
Paresthesia,IL,5,16,71
Pelvic Pain,IL,9,19,75
Persistent Vegetative State,IL,44,67,16
Phantom Limb,IL,74,75,60
Photophobia,IL,42,62,14
Polyuria,IL,61,71,33
Presbycusis,IL,16,60,6
Prosopagnosia,IL,91,85,91
Proteinuria,IL,40,55,12
Pruritus,IL,64,51,36
Pseudophakia,IL,33,36,47
Psychomotor Agitation,IL,14,11,66
Purpura,IL,58,66,30
Purpura Fulminans,IL,62,72,34
Quadriplegia,IL,47,65,19
Renal Colic,IL,33,36,47
Respiratory Sounds,IL,2,14,68
Reticulocytosis,IL,40,55,12
Sarcopenia,IL,62,72,34
Sciatica,IL,9,19,75
Scotoma,IL,41,61,13
Seizures,IL,9,19,75
Shoulder Pain,IL,9,19,75
Sleep Deprivation,IL,62,72,34
Sleep Disorders,IL,48,69,20
Sneezing,IL,9,19,75
Snoring,IL,9,19,75
Spasm,IL,5,15,71
Speech Disorders,IL,48,69,20
Stupor,IL,81,21,81
Stuttering,IL,46,70,18
Susac Syndrome,IL,84,5,84
Sweating Sickness,IL,76,77,62
Syncope,IL,57,91,29
Synkinesis,IL,40,55,12
Tetany,IL,34,43,48
Thinness,IL,42,49,14
Tics,IL,43,62,15
Tinea Pedis,IL,50,38,22
Tinnitus,IL,7,18,73
Toothache,IL,9,19,75
Torticollis,IL,86,50,86
Tremor,IL,68,27,40
Trismus,IL,23,37,8
Unconsciousness,IL,62,72,34
Urinary Incontinence,IL,46,70,18
Vertigo,IL,3,20,69
Virilism,IL,78,9,64
Vocal Cord Paralysis,IL,54,59,26
Vomiting,IL,9,19,75
Waterhouse-Friderichsen Syndrome,IL,77,78,63
Weight Gain,IL,9,19,75
Weight Loss,IL,9,19,75
Abdominal Pain,IN,12,46,15
Acute Coronary Syndrome,IN,44,19,44
Ageusia,IN,33,84,33
Agnosia,IN,30,81,30
Agraphia,IN,76,77,76
Albuminuria,IN,1,3,1
Alien Hand Syndrome,IN,17,59,17
Amaurosis Fugax,IN,62,38,62
Amblyopia,IN,74,41,74
Amnesia,IN,13,48,12
Angina Pectoris,IN,62,38,62
Anisocoria,IN,25,96,25
Anomia,IN,5,58,5
Anorexia,IN,93,33,97
Anoxia,IN,90,15,94
Aphasia,IN,92,25,96
Aphonia,IN,76,77,76
Apnea,IN,48,17,48
Arthralgia,IN,84,7,84
Asthenia,IN,44,19,44
Ataxia,IN,49,18,49
Athetosis,IN,20,88,20
Back Pain,IN,12,46,15
Birth Weight,IN,58,32,58
Blindness,IN,93,33,97
Body Weight,IN,46,21,46
Bulimia,IN,93,33,97
Cachexia,IN,57,31,57
Catalepsy,IN,34,85,34
Catatonia,IN,39,69,39
Cerebellar Ataxia,IN,18,101,18
Chest Pain,IN,12,46,15
Chills,IN,12,46,15
Chorea,IN,69,93,69
Colic,IN,16,50,13
Coma,IN,67,11,67
Communication Disorders,IN,98,26,91
Confusion,IN,93,33,97
Constipation,IN,12,46,15
Coprophagia,IN,95,71,88
Cough,IN,12,46,15
Cyanosis,IN,7,75,7
Deafness,IN,60,33,60
Delirium,IN,70,95,70
Diarrhea,IN,12,46,15
Diplopia,IN,1,3,1
Dizziness,IN,12,46,15
Dysarthria,IN,69,93,69
Dysgeusia,IN,21,89,21
Dyslexia,IN,84,7,84
Dysmenorrhea,IN,63,39,63
Dyspepsia,IN,90,14,94
Dysphonia,IN,58,32,58
Dyspnea,IN,82,9,82
Dystonia,IN,76,77,76
Dysuria,IN,67,11,67
Earache,IN,12,46,15
Ecchymosis,IN,44,19,44
Echolalia,IN,81,43,81
Edema,IN,83,10,83
Emaciation,IN,67,11,67
Encopresis,IN,88,23,92
Eructation,IN,63,39,63
Eye Hemorrhage,IN,69,93,69
Eye Pain,IN,10,44,10
Facial Pain,IN,99,13,99
Fasciculation,IN,50,1,50
Fatigue,IN,15,49,14
Feminization,IN,94,28,98
Fever,IN,12,46,15
Flank Pain,IN,78,79,78
Flatulence,IN,100,5,100
Flushing,IN,89,24,93
Gagging,IN,47,16,47
Gastroparesis,IN,79,51,79
Halitosis,IN,56,30,56
Hallucinations,IN,10,44,10
Headache,IN,12,46,15
Hearing Loss,IN,71,2,71
Heart Murmurs,IN,44,19,44
Heartburn,IN,12,46,15
Hematemesis,IN,76,77,76
Hemianopsia,IN,43,65,43
Hemiplegia,IN,67,11,67
Hemoglobinuria,IN,88,23,92
Hemoptysis,IN,29,100,29
Hiccup,IN,47,16,47
Hirsutism,IN,92,25,96
Hoarseness,IN,25,96,25
Horner Syndrome,IN,36,62,36
Hot Flashes,IN,15,49,14
Hydrops Fetalis,IN,97,73,90
Hyperacusis,IN,51,66,51
Hyperalgesia,IN,40,70,40
Hypercapnia,IN,60,34,60
Hyperemesis Gravidarum,IN,14,47,16
Hyperesthesia,IN,19,87,19
Hyperventilation,IN,94,26,98
Hypocapnia,IN,84,7,84
Hypothermia,IN,61,22,61
Hypoventilation,IN,55,29,55
Illusions,IN,93,33,97
Intermittent Claudication,IN,63,39,63
Jaundice,IN,6,76,6
Korsakoff Syndrome,IN,24,92,24
Labor Pain,IN,52,60,52
Lethargy,IN,1,3,1
Livedo Reticularis,IN,32,83,32
Low Back Pain,IN,86,80,86
Mental Retardation,IN,93,33,97
Metatarsalgia,IN,77,78,77
Miosis,IN,81,3,81
Morning Sickness,IN,38,64,38
Motion Sickness,IN,87,79,87
Mouth Breathing,IN,76,77,76
Muscle Cramp,IN,53,61,53
Muscle Weakness,IN,27,98,27
Muscular Atrophy,IN,93,33,97
Mutism,IN,96,72,89
Myoclonus,IN,62,38,62
Myotonia,IN,23,91,23
Nausea,IN,12,46,15
Neck Pain,IN,12,46,15
Neuralgia,IN,2,4,2
Nocturia,IN,98,27,91
Obesity,IN,93,33,97
Oliguria,IN,26,97,26
Ophthalmoplegia,IN,63,39,63
Orthostatic Intolerance,IN,19,87,19
Overweight,IN,72,35,72
Pain,IN,12,46,15
Pallor,IN,65,36,65
Paralysis,IN,6,52,6
Paraplegia,IN,75,42,75
Paresis,IN,73,94,73
Paresthesia,IN,45,20,45
Pelvic Pain,IN,12,46,15
Photophobia,IN,66,37,66
Polyuria,IN,28,99,28
Presbycusis,IN,59,28,59
Prosopagnosia,IN,22,90,22
Proteinuria,IN,88,23,92
Pruritus,IN,95,71,88
Pseudophakia,IN,41,67,41
Purpura,IN,97,73,90
Quadriplegia,IN,3,56,3
Renal Colic,IN,55,29,55
Sarcopenia,IN,42,68,42
Sciatica,IN,12,46,15
Scotoma,IN,60,34,60
Seizures,IN,8,53,8
Shoulder Pain,IN,12,46,15
Sleep Deprivation,IN,60,33,60
Sleep Disorders,IN,93,33,97
Sneezing,IN,12,46,15
Snoring,IN,11,45,11
Spasm,IN,80,74,80
Stupor,IN,4,57,4
Stuttering,IN,91,13,95
Sweating Sickness,IN,35,86,35
Syncope,IN,85,8,85
Tetany,IN,73,94,73
Thinness,IN,37,63,37
Tics,IN,64,40,64
Tinea Pedis,IN,99,13,99
Tinnitus,IN,54,54,54
Toothache,IN,12,46,15
Torticollis,IN,68,12,68
Tremor,IN,91,14,95
Trismus,IN,31,82,31
Unconsciousness,IN,100,6,100
Urinary Incontinence,IN,60,34,60
Vertigo,IN,9,55,9
Vomiting,IN,12,46,15
Weight Gain,IN,12,46,15
Weight Loss,IN,12,46,15
Abdominal Pain,IA,30,20,11
Agnosia,IA,65,66,39
Amblyopia,IA,17,91,76
Amnesia,IA,25,14,16
Angina Pectoris,IA,19,83,69
Anisocoria,IA,83,82,68
Anomia,IA,57,52,86
Anorexia,IA,90,88,81
Anoxia,IA,84,29,72
Aphasia,IA,20,84,70
Apnea,IA,79,86,75
Arthralgia,IA,62,57,89
Asthenia,IA,45,41,49
Ataxia,IA,82,80,66
Athetosis,IA,26,15,17
Back Pain,IA,30,20,11
Birth Weight,IA,86,79,74
Blindness,IA,90,88,81
Body Weight,IA,59,56,88
Bulimia,IA,90,88,81
Cachexia,IA,39,1,20
Catatonia,IA,56,53,85
Chest Pain,IA,30,20,11
Chills,IA,30,20,11
Chorea,IA,67,68,41
Colic,IA,53,45,54
Coma,IA,48,44,52
Confusion,IA,90,88,81
Constipation,IA,30,20,11
Coprophagia,IA,34,4,23
Cough,IA,30,20,11
Cyanosis,IA,75,32,60
Deafness,IA,90,88,81
Delirium,IA,69,70,43
Diarrhea,IA,30,20,11
Diplopia,IA,87,60,92
Dizziness,IA,29,18,10
Dysarthria,IA,8,9,34
Dysgeusia,IA,3,36,3
Dyslexia,IA,72,26,57
Dysmenorrhea,IA,81,77,63
Dyspepsia,IA,71,73,45
Dysphonia,IA,42,39,46
Dyspnea,IA,58,55,87
Dystonia,IA,78,78,65
Dysuria,IA,13,13,29
Earache,IA,63,58,90
Ecchymosis,IA,40,2,21
Echolalia,IA,44,40,48
Edema,IA,60,61,93
Emaciation,IA,27,16,18
Encopresis,IA,14,32,30
Eye Pain,IA,23,22,14
Fatigue,IA,29,18,10
Feminization,IA,50,46,77
Fever,IA,30,20,11
Flank Pain,IA,81,77,63
Flatulence,IA,77,76,64
Flushing,IA,91,85,71
Gagging,IA,68,69,42
Gastroparesis,IA,35,5,24
Halitosis,IA,52,49,79
Hallucinations,IA,9,10,35
Headache,IA,30,20,11
Hearing Loss,IA,88,89,82
Heartburn,IA,30,20,11
Hematemesis,IA,12,33,38
Hemianopsia,IA,60,61,93
Hemiplegia,IA,1,37,1
Hemoptysis,IA,49,48,53
Hiccup,IA,64,59,91
Hirsutism,IA,76,34,61
Hoarseness,IA,57,52,86
Hot Flashes,IA,46,42,50
Hydrops Fetalis,IA,28,17,19
Hyperacusis,IA,81,77,63
Hyperalgesia,IA,20,84,70
Hypercapnia,IA,37,35,28
Hyperemesis Gravidarum,IA,51,47,78
Hyperesthesia,IA,19,83,69
Hyperventilation,IA,18,63,31
Hypocapnia,IA,33,7,15
Hypothermia,IA,61,62,94
Hypoventilation,IA,75,36,60
Illusions,IA,90,88,81
Intermittent Claudication,IA,18,63,31
Jaundice,IA,80,87,62
Labor Pain,IA,21,51,8
Lethargy,IA,70,72,44
Low Back Pain,IA,55,45,56
Mental Retardation,IA,90,88,81
Metatarsalgia,IA,75,28,60
Miosis,IA,15,64,32
Morning Sickness,IA,49,48,53
Motion Sickness,IA,54,50,55
Mouth Breathing,IA,56,53,85
Muscle Cramp,IA,62,57,89
Muscle Weakness,IA,69,71,43
Mutism,IA,60,61,93
Myoclonus,IA,58,55,87
Myotonia,IA,5,8,5
Nausea,IA,30,20,11
Neck Pain,IA,30,20,11
Neuralgia,IA,43,39,47
Nocturia,IA,6,23,6
Obesity,IA,90,88,81
Oliguria,IA,66,67,40
Ophthalmoplegia,IA,60,61,93
Orthostatic Intolerance,IA,44,40,48
Overweight,IA,91,91,76
Pain,IA,30,20,11
Pallor,IA,57,52,86
Paralysis,IA,80,87,62
Paraplegia,IA,75,28,60
Paresis,IA,76,51,61
Paresthesia,IA,24,81,67
Pelvic Pain,IA,22,19,9
Photophobia,IA,81,77,63
Polyuria,IA,58,55,87
Presbycusis,IA,82,80,66
Prosopagnosia,IA,38,30,26
Proteinuria,IA,50,46,77
Pruritus,IA,73,27,58
Pseudophakia,IA,10,11,36
Purpura,IA,92,90,83
Quadriplegia,IA,4,24,4
Renal Colic,IA,11,12,37
Sarcopenia,IA,17,31,27
Sciatica,IA,32,21,13
Scotoma,IA,44,40,48
Seizures,IA,77,76,64
Shoulder Pain,IA,30,20,11
Sleep Deprivation,IA,89,88,80
Sleep Disorders,IA,91,91,76
Sneezing,IA,30,19,11
Snoring,IA,62,57,89
Spasm,IA,93,92,84
Stupor,IA,60,61,93
Stuttering,IA,87,60,92
Susac Syndrome,IA,2,38,2
Sweating Sickness,IA,34,4,23
Syncope,IA,85,85,73
Tetany,IA,89,54,80
Tics,IA,92,90,83
Tinea Pedis,IA,41,3,22
Tinnitus,IA,47,43,51
Toothache,IA,31,20,12
Torticollis,IA,16,65,33
Tremor,IA,74,74,59
Trismus,IA,7,25,7
Urinary Incontinence,IA,74,75,59
Vertigo,IA,79,86,75
Vomiting,IA,30,20,11
Weight Gain,IA,30,20,11
Weight Loss,IA,36,6,25
Abdominal Pain,KS,34,23,29
Ageusia,KS,38,27,35
Agnosia,KS,62,57,63
Amaurosis Fugax,KS,60,66,61
Amblyopia,KS,63,72,44
Amnesia,KS,29,20,26
Angina Pectoris,KS,60,67,61
Anisocoria,KS,63,72,44
Anomia,KS,39,28,11
Anorexia,KS,50,58,50
Anoxia,KS,68,71,43
Aphasia,KS,58,2,60
Apnea,KS,47,30,4
Arthralgia,KS,60,66,61
Asthenia,KS,13,17,71
Ataxia,KS,61,65,62
Back Pain,KS,34,23,29
Birth Weight,KS,57,4,59
Blindness,KS,50,58,50
Body Weight,KS,54,74,56
Bulimia,KS,50,58,50
Cachexia,KS,1,40,5
Catatonia,KS,40,68,36
Chest Pain,KS,34,23,29
Chills,KS,34,23,29
Chorea,KS,65,63,48
Colic,KS,43,56,39
Coma,KS,30,21,27
Confusion,KS,62,57,63
Constipation,KS,34,23,29
Coprophagia,KS,10,48,68
Cough,KS,34,23,29
Cyanosis,KS,71,34,66
Deafness,KS,62,57,63
Delirium,KS,14,50,72
Diarrhea,KS,34,23,29
Diplopia,KS,3,39,9
Dizziness,KS,34,23,29
Dysarthria,KS,56,44,58
Dysgeusia,KS,46,29,3
Dyslexia,KS,57,77,59
Dysmenorrhea,KS,5,38,8
Dyspepsia,KS,44,42,40
Dysphonia,KS,66,70,49
Dyspnea,KS,55,37,57
Dystonia,KS,52,55,54
Dysuria,KS,63,72,44
Earache,KS,33,1,28
Ecchymosis,KS,15,44,12
Echolalia,KS,26,10,23
Edema,KS,16,45,13
Emaciation,KS,8,36,1
Encopresis,KS,54,1,56
Eye Pain,KS,12,51,70
Facial Pain,KS,8,36,1
Fatigue,KS,31,22,32
Feminization,KS,48,76,51
Fever,KS,34,23,29
Flank Pain,KS,72,33,67
Flatulence,KS,42,69,38
Flushing,KS,43,56,39
Gagging,KS,67,61,42
Gastroparesis,KS,28,16,25
Halitosis,KS,17,5,14
Hallucinations,KS,15,44,12
Headache,KS,34,23,29
Hearing Loss,KS,50,75,52
Heartburn,KS,34,23,29
Hematemesis,KS,44,42,40
Hemianopsia,KS,56,33,58
Hemiplegia,KS,53,54,55
Hemoptysis,KS,10,48,68
Hiccup,KS,63,72,44
Hirsutism,KS,56,66,58
Hoarseness,KS,46,29,3
Hot Flashes,KS,6,52,46
Hydrops Fetalis,KS,17,5,14
Hypercapnia,KS,17,5,14
Hyperemesis Gravidarum,KS,56,13,58
Hyperventilation,KS,63,72,44
Hypothermia,KS,52,54,54
Hypoventilation,KS,17,5,14
Illusions,KS,50,58,50
Jaundice,KS,53,54,55
Labor Pain,KS,19,7,16
Lethargy,KS,4,32,10
Low Back Pain,KS,18,6,15
Mental Retardation,KS,49,58,50
Metatarsalgia,KS,65,63,48
Miosis,KS,67,61,42
Morning Sickness,KS,40,68,36
Motion Sickness,KS,61,46,62
Mouth Breathing,KS,69,35,64
Muscle Cramp,KS,56,31,58
Muscle Weakness,KS,2,41,6
Mutism,KS,70,31,65
Myoclonus,KS,68,71,43
Nausea,KS,34,23,29
Neck Pain,KS,34,23,29
Neuralgia,KS,48,76,51
Nocturia,KS,22,14,19
Obesity,KS,50,58,50
Oliguria,KS,15,44,12
Overweight,KS,49,59,50
Pain,KS,34,23,29
Pallor,KS,3,39,9
Paralysis,KS,31,22,32
Paraplegia,KS,53,54,55
Paresis,KS,27,15,24
Paresthesia,KS,8,36,1
Pelvic Pain,KS,32,47,33
Photophobia,KS,5,38,8
Polyuria,KS,10,48,68
Presbycusis,KS,56,12,58
Prosopagnosia,KS,9,62,2
Proteinuria,KS,64,73,45
Pruritus,KS,45,43,41
Purpura,KS,57,61,59
Purpura Fulminans,KS,20,8,17
Quadriplegia,KS,24,18,21
Renal Colic,KS,15,44,12
Sarcopenia,KS,21,9,18
Sciatica,KS,34,23,29
Scotoma,KS,56,70,58
Seizures,KS,11,49,69
Shoulder Pain,KS,34,23,29
Sleep Deprivation,KS,17,5,14
Sleep Disorders,KS,50,58,50
Sneezing,KS,33,3,28
Snoring,KS,17,5,14
Spasm,KS,59,60,7
Stupor,KS,27,15,24
Stuttering,KS,48,76,51
Sweating Sickness,KS,23,11,20
Syncope,KS,51,53,53
Synkinesis,KS,37,26,34
Tetany,KS,10,48,68
Tics,KS,51,53,53
Tinea Pedis,KS,7,64,47
Tinnitus,KS,63,72,44
Toothache,KS,36,25,30
Torticollis,KS,41,65,37
Tremor,KS,53,52,55
Trismus,KS,68,71,43
Unconsciousness,KS,25,19,22
Urinary Incontinence,KS,63,72,44
Vertigo,KS,17,5,14
Vomiting,KS,34,23,29
Weight Gain,KS,34,23,29
Weight Loss,KS,35,24,31
Abdominal Pain,KY,9,40,9
Ageusia,KY,15,26,14
Agnosia,KY,65,13,64
Amaurosis Fugax,KY,34,62,33
Amblyopia,KY,62,18,61
Amnesia,KY,10,41,10
Angina Pectoris,KY,35,63,34
Anisocoria,KY,38,1,37
Anomia,KY,40,4,39
Anorexia,KY,64,17,63
Anoxia,KY,54,51,53
Aphasia,KY,5,52,5
Apnea,KY,63,16,62
Arthralgia,KY,32,20,31
Asthenia,KY,48,9,47
Ataxia,KY,50,43,49
Back Pain,KY,9,40,9
Birth Weight,KY,57,54,56
Blindness,KY,64,17,63
Body Weight,KY,53,55,52
Bulimia,KY,64,17,63
Cachexia,KY,55,54,54
Catatonia,KY,1,36,1
Chest Pain,KY,9,40,9
Chills,KY,9,40,9
Chorea,KY,6,42,6
Colic,KY,61,19,60
Coma,KY,66,14,65
Communication Disorders,KY,52,53,51
Confusion,KY,3,58,3
Constipation,KY,9,40,9
Coprophagia,KY,48,9,47
Cough,KY,9,40,9
Cyanosis,KY,45,21,44
Deafness,KY,62,18,61
Delirium,KY,43,64,42
Diarrhea,KY,9,40,9
Diplopia,KY,66,21,65
Dizziness,KY,9,40,9
Dysarthria,KY,52,60,51
Dysgeusia,KY,24,35,23
Dyslexia,KY,63,16,62
Dysmenorrhea,KY,25,49,24
Dyspepsia,KY,39,3,38
Dysphonia,KY,44,13,43
Dyspnea,KY,3,58,3
Dystonia,KY,38,1,37
Dysuria,KY,38,1,37
Earache,KY,11,43,11
Ecchymosis,KY,47,8,46
Echolalia,KY,27,48,26
Edema,KY,60,56,59
Emaciation,KY,27,48,26
Encopresis,KY,48,9,47
Eye Pain,KY,13,39,12
Facial Pain,KY,6,42,6
Fasciculation,KY,19,30,18
Fatigue,KY,9,40,9
Feminization,KY,61,19,60
Fever,KY,9,40,9
Flank Pain,KY,35,63,34
Flatulence,KY,37,66,36
Flushing,KY,49,6,48
Gagging,KY,26,50,25
Gastroparesis,KY,8,22,8
Halitosis,KY,56,10,55
Hallucinations,KY,28,15,27
Headache,KY,9,40,9
Hearing Loss,KY,63,16,62
Heartburn,KY,9,40,9
Hematemesis,KY,2,37,2
Hemianopsia,KY,4,59,4
Hemiplegia,KY,41,2,40
Hemoptysis,KY,38,1,37
Hiccup,KY,7,42,7
Hirsutism,KY,35,63,34
Hoarseness,KY,33,60,32
Horner Syndrome,KY,48,9,47
Hot Flashes,KY,46,52,45
Hydrops Fetalis,KY,29,47,28
Hyperacusis,KY,25,49,24
Hyperalgesia,KY,58,12,57
Hypercapnia,KY,62,18,61
Hyperemesis Gravidarum,KY,30,46,29
Hyperesthesia,KY,59,45,58
